Results Table 1
,Maximum Load
,(lbf)
"1","980.72"

Time,Elongation,Load
(s),(in),(lbf)
"10.8400","0.0425","400.2131"
"10.8600","0.0425","400.5588"
"10.8800","0.0426","401.0229"
"10.9000","0.0427","401.6213"
"10.9200","0.0427","402.2031"
"10.9400","0.0428","402.7264"
"10.9600","0.0429","403.1661"
"10.9800","0.0429","403.4974"
"11.0000","0.0430","403.8642"
"11.0200","0.0431","404.3953"
"11.0400","0.0431","404.9645"
"11.0600","0.0432","405.4352"
"11.0800","0.0433","405.8518"
"11.1000","0.0433","406.2427"
"11.1200","0.0434","406.6224"
"11.1400","0.0435","407.0495"
"11.1600","0.0435","407.5673"
"11.1800","0.0436","408.0761"
"11.2000","0.0437","408.5516"
"11.2200","0.0437","409.0207"
"11.2400","0.0438","409.4017"
"11.2600","0.0439","409.6983"
"11.2800","0.0439","410.0635"
"11.3000","0.0440","410.6167"
"11.3200","0.0441","411.2085"
"11.3400","0.0441","411.6760"
"11.3600","0.0442","412.0533"
"11.3800","0.0443","412.3622"
"11.4000","0.0443","412.6810"
"11.4200","0.0444","413.1280"
"11.4400","0.0445","413.6998"
"11.4600","0.0445","414.2097"
"11.4800","0.0446","414.6568"
"11.5000","0.0447","415.0151"
"11.5200","0.0447","415.3271"
"11.5400","0.0448","415.7240"
"11.5600","0.0449","416.1813"
"11.5800","0.0449","416.6685"
"11.6000","0.0450","417.0876"
"11.6200","0.0451","417.4789"
"11.6400","0.0451","417.8683"
"11.6600","0.0452","418.2306"
"11.6800","0.0453","418.6077"
"11.7000","0.0453","419.0498"
"11.7200","0.0454","419.5209"
"11.7400","0.0455","419.9847"
"11.7600","0.0455","420.3854"
"11.7800","0.0456","420.6945"
"11.8000","0.0457","420.9459"
"11.8200","0.0457","421.3032"
"11.8400","0.0458","421.8364"
"11.8600","0.0459","422.3894"
"11.8800","0.0459","422.8011"
"11.9000","0.0460","423.1342"
"11.9200","0.0461","423.4255"
"11.9400","0.0461","423.7292"
"11.9600","0.0462","424.1589"
"11.9800","0.0463","424.6624"
"12.0000","0.0463","425.1064"
"12.0200","0.0464","425.4869"
"12.0400","0.0465","425.8450"
"12.0600","0.0465","426.1590"
"12.0800","0.0466","426.4904"
"12.1000","0.0467","426.8929"
"12.1200","0.0467","427.3465"
"12.1400","0.0468","427.7566"
"12.1600","0.0469","428.1534"
"12.1800","0.0469","428.5442"
"12.2000","0.0470","428.8452"
"12.2200","0.0471","429.1438"
"12.2400","0.0471","429.5168"
"12.2600","0.0472","429.9610"
"12.2800","0.0473","430.3782"
"12.3000","0.0473","430.7493"
"12.3200","0.0474","431.0402"
"12.3400","0.0475","431.2921"
"12.3600","0.0475","431.6561"
"12.3800","0.0476","432.1871"
"12.4000","0.0477","432.6776"
"12.4200","0.0477","433.0260"
"12.4400","0.0478","433.2938"
"12.4600","0.0479","433.5594"
"12.4800","0.0479","433.8629"
